CCEN;NOM;NOME;DGENRC;DGENRE;GENR;MUNI;DMUNIC;DMUNIE;DTERRC;DTERRE;DEPE;DTITUC;DTITUE;DOMI;CPOS;TEL1;TFAX;EMAIL;PAGINA;COOR_X;COOR_Y
010195;VIRGEN NIÑA;VIRGEN NIÑA;CPEIPS;HLBHIP;31H0;002;AMURRIO;AMURRIO;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;DIONISIO ALDAMA 18;01470;945393544;945393544;info@virgennina.com;http://www.virgennina.com;499847.930139492;4766294.374564213
010199;LA MILAGROSA;LA MILAGROSA;CPEIPS;HLBHIP;31H0;036;LAUDIO/LLODIO;LAUDIO/LLODIO;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;LEZEAGABIDE 2;01400;946720701;946727471;lamilagrosall@hijasdelacaridad.org; ;502621.40337678;4777161.962498118
010201;LAUDIOALDE LANBIDE ESKOLA;LAUDIOALDE LANBIDE ESKOLA;IES;BHI;11D0;036;LAUDIO/LLODIO;LAUDIO/LLODIO;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;VIRGEN DEL CARMEN 17;01400;946720505;946721057;010201aa@hezkuntza.net;http://www.cmfp-llodio.com/;503241.490867843;4776817.252662808
010202;LAUTADA IKASTOLA;LAUTADA IKASTOLA;CPEIPS;HLBHIP;31H0;051;AGURAIN/SALVATIERRA;AGURAIN/SALVATIERRA;ARABA/ÁLAVA;ARABA/ÁLAVA;32;PRIVADA;PRIBATUA;SAN JORGE 17;01200;945300215;945300215;lautada@ikastola.net; ;549693.729075342;4744634.983270671
010208;SUZANNE;SUZANNE;CPES;BHIP;31D0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;31;PRIVADA;PRIBATUA;BTO. TOMÁS DE ZUMARRAGA 27-A;01008;945246922;945246922;info@escuelasuzanne.com; ;525705.223945512;4744279.565614907
010214;BERMAR;BERMAR;CPFPB;OLHIP;31P0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;31;PRIVADA;PRIBATUA;SAN ANTONIO 43;01005;945230780;945232647;colegiobermar@gmail.com; ;526607.410015788;4743299.555093215
010216;CALASANZ;CALASANZ;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;FEDERICO BARAIBAR 36;01003;945284000;945264105;colegio@escolapiosgasteiz.org; ;527840.229704801;4743406.943234669
010218;HOGAR SAN JOSE;HOGAR SAN JOSE;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;ARIZNAVARRA 1;01007;945130399;945155549;fidelm@hsanjosevitoria.com; ;525356.152618928;4743248.365512705
010219;INMACULADA CONCEPCIÓN;INMACULADA CONCEPCIÓN;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;PL. 1 DE MAYO 3;01013;945265398;945265398;direccion.inmaculada@ficabetxuko.es; ;526086.627227582;4747279.37501238
010221;URKIDE;URKIDE;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;32;PRIVADA;PRIBATUA;MAGDALENA 8;01008;945133100;945146332;info@urkide.org; ;526333.878868799;4743786.326012402
010222;NAZARETH;NAZARETH;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;ÁLAVA 35;01006;945232967;945130611;nazareth-vit@infonegocio.com; ;526436.968414188;4742694.418267066
010223;NIÑO JESÚS;NIÑO JESÚS;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;BEATO TOMÁS DE ZUMARRAGA 24;01008;945242495;945242858;dirpedagogicanj@vedruna.org;http://www.njesusikastetxea.com;526223.178409125;4744190.29378593
010224;NTRA. SRA. DE LAS MERCEDES;NTRA. SRA. DE LAS MERCEDES;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;CUADRILLA DE LAGUARDIA 1-B;01013;945256922;945275131;direccionp@mercedariasgasteiz.com; ;527377.522397973;4745107.976994167
010228;PRESENTACIÓN DE MARÍA;PRESENTACIÓN DE MARÍA;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;CRUZ BLANCA 4;01012;945217394;945229358;direccion.vitoria@presentaciondemaria.org; ;526279.21716696;4744532.834062847
010229;CARMELITAS-SAGRADO CORAZÓN;CARMELITAS-SAGRADO CORAZÓN;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;FUEROS 49;01005;945282942;945250488;secretaria@carmelitasvitoria.com; ;527003.062116801;4743338.587148354
010231;SAN IGNACIO;SAN IGNACIO;CEIP;HLHI;11S0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ITURRITXU Z/G;01006;945135412;945231265;010231aa@hezkuntza.net; ;527592.862621764;4742410.296099311
010233;SAN VIATOR;SAN VIATOR;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;SAN VIATOR 15;01009;945220500;945242412;sanviator@sanviator.es; ;525916.490722222;4744809.017846436
010234;SANTA MARÍA;SANTA MARÍA;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;LUIS HEINTZ 5;01008;945134107;945146780;csmvi@marias-gasteiz.org; ;526224.431777458;4743685.406554266
010235;SAGRADO CORAZÓN;SAGRADO CORAZÓN;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;FRAY FRANCISCO 1;01007;945151709;945150266;directortitular@corazonistasvitoria.com; ;526323.010846017;4743244.716255502
010237;VERA CRUZ;VERA CRUZ;CPEIPS;HLBHIP;31H0;059;VITORIA-GASTEIZ;VITORIA-GASTEIZ;ARABA/ÁLAVA;ARABA/ÁLAVA;33;PRIVADA;PRIBATUA;FRAY FRANCISCO 15;01007;945143660;945143001;secretaria@colegioveracruz.com;http://www.colegioveracruz.com;526080.954086706;4743110.203635156
